bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,CommandFence: A Novel Digital-Twin-Based Preventive Framework for Securing Smart Home Systems,"Xiao, Yinhao and Jia, Yizhen and Hu, Qin and Cheng, Xiuzhen and Gong, Bei and Yu, Jiguo",IEEE Transactions on Dependable and Secure Computing,2022,Scopus,1–17,,"Smart home systems are both technologically and economically advancing rapidly. As people become gradually inalienable to smart home infrastructures, their security conditions are getting more and more closely tied to everyone&#x2019;s privacy and safety. In this paper, we consider smart apps, either malicious ones with evil intentions or benign ones with logic errors, that can cause property loss or even physical sufferings to the user when being executed in a smart home environment and interacting with human activities and environmental changes. Unfortunately, current preventive measures rely on permissionbased access control, failing to provide ideal protections against such threats due to the nature of their rigid designs. In this paper, we propose CommandFence, a novel digital-twin-based security framework that adopts a fundamentally new concept of protecting the smart home system by letting any sequence of app commands to be executed in a virtual smart home system, in which a deep-q network (DQN) is used to predict if the sequence could lead to a risky consequence. CommandFence is composed of an Interposition Layer to interpose app commands and an Emulation Layer to figure out whether they can cause any risky smart home state if correlating with possible human activities and environmental changes. We fully implemented our CommandFence implementation and tested against 553 official SmartApps on the Samsung SmartThings platform and successfully identified 34 potentially dangerous ones, with 31 of them reported to be problematic the first time to our best knowledge. Moreover, We tested our CommandFence on the 10 malicious SmartApps created by [1] and successfully identified 7 of them as risky, with the missed ones actually only causing smartphone information leak (not harmful to the smart home system). We also tested CommandFence against the 17 benign SmartApps with logic errors developed by [2] and achieved a 100 CommandFence incurs a neglectable overhead of 0.1675 seconds. IEEE",Article,10.1109/TDSC.2022.3184185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133781491&doi=10.1109%2fTDSC.2022.3184185&partnerID=40&md5=032da32a302a20e0a04e2c215dc31381,,Access control; Computer science; Emulation; Permission; Safety; Servers; Smart homes,Automation; Computer circuits; Intelligent buildings; Virtual reality; Condition; Emulation; Environmental change; Home environment; Human activities; Logic errors; Permission; Property loss; Smart homes; Smart-home system; Access control,Institute of Electrical and Electronics Engineers Inc.,15455971,English,Cited by: 0,,44936.5983,44940.69722,Linatek,Linatek,Accepted,
,Blockchain and Deep Learning for Secure Communication in Digital Twin Empowered Industrial IoT Network,"Kumar, Prabhat and Kumar, Randhir and Kumar, Abhinav and Franklin, A. Antony and Garg, Sahil and Singh, Satinder",IEEE Transactions on Network Science and Engineering,2022,Scopus,1–13,,"The rapid expansion of the Industrial Internet of Things (IIoT) necessitates the digitization of industrial processes in order to increase network efficiency. The integration of Digital Twin (DT) with IIoT digitizes physical objects into virtual representations to improve data analytics performance. Nevertheless, DT empowered IIoT generates a massive amount of data that is mostly sent to the cloud or edge servers for real-time analysis. However, unreliable public communication channels and lack of trust among participating entities causes various types of threats and attacks on the ongoing communication. Motivated from the aforementioned discussion, we present a blockchain and Deep Learning (DL) integrated framework for delivering decentralized data processing and learning in IIoT network. The framework first present a new DT model that facilitates construction of a virtual environment to simulate and replicate security-critical processes of IIoT. Second, we propose a blockchain-based data transmission scheme that uses smart contracts to ensure integrity and authenticity of data. Finally, the DL scheme is designed to apply the Intrusion Detection System (IDS) against valid data retrieved from blockchain. In DL scheme, a Long Short Term Memory-Sparse AutoEncoder (LSTMSAE) technique is proposed to learn the spatial-temporal representation. The extracted characteristics are further used by the proposed Multi-Head Self-Attention (MHSA)-based Bidirectional Gated Recurrent Unit (BiGRU) algorithm to learn long-distance features and accurately detect attacks. The practical implementation of our proposed framework proves considerable enhancement of communication security and data privacy in DT empowered IIoT network. IEEE",Article,10.1109/TNSE.2022.3191601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135209094&doi=10.1109%2fTNSE.2022.3191601&partnerID=40&md5=c66137380c4d693aba7dabf769459e7e,,Blockchain; Blockchains; Computational modeling; Data models; Deep Learning (DL); Digital Twin (DT); Digital twins; Industrial Internet of Things; Industrial Internet of Things (IIoT); Security; Smart Contract; Virtual environments,Blockchain; Data Analytics; Data privacy; Deep learning; E-learning; Internet of things; Network security; Virtual reality; Block-chain; Computational modelling; Deep learning; Digital twin; Industrial internet of thing; Learn+; Learning schemes; Security; Smart contract,IEEE Computer Society,23274697,English,"Cited by: 1; All Open Access, Green Open Access, Hybrid Gold Open Access",,44936.5983,44940.69014,Linatek,Linatek,Accepted,
,Towards Cybersecurity of the Smart Grid Using Digital Twins,"Olivares-Rojas, Juan C. and Reyes-Archundia, Enrique and Gutierrez-Gnecchi, Jose A. and Molina-Moreno, Ismael and Cerda-Jacobo, Jaime and Mendez-Patino, Arturo",IEEE Internet Computing,2022,Scopus,52 – 57,26,"The proliferation of cyber-physical systems is driving the growing need to establish links between these systems and virtual environments. Particularly in the smart grid, the high costs of some devices and the imminent need to prevent manipulation of these devices in production environments make mechanisms that allow the manipulation of these physical objects in virtual environments necessary; this has been called a digital twin (DT). Conversley, cyberattacks are growing in all cyber-physical systems and cybersecurity is essential to the critical infrastructure of the smart grid. This work shows a small implementation of a DT system for smart metering systems in a smart home environment for testing cybersecurity issues. The results show that the use of DTs is feasible in various contexts of the smart grid, particularly in cybersecurity testing. © 1997-2012 IEEE.",Article,10.1109/MIC.2021.3063674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102308701&doi=10.1109%2fMIC.2021.3063674&partnerID=40&md5=5c745be2b4fc49d6a78873e719fc3db4,,,Automation; Cyber Physical System; Digital devices; Digital twin; Embedded systems; Security of data; Smart power grids; Cyber security; Cyber-attacks; High costs; Physical objects; Production environments; Smart grid; Smart homes; Smart metering; Electric power transmission networks,Institute of Electrical and Electronics Engineers Inc.,10897801,English,Cited by: 2,,44936.5983,44941.47392,Linatek,Linatek,Accepted,
,Assessment of a method for detecting process anomalies using digital-twinning,"Sugumar, Gayathri and Mathur, Aditya","Proceedings - 2019 15th European Dependable Computing Conference, EDCC 2019",2019,Scopus,119 – 126,,"Several methods exist for detecting process anomalies resulting from cyber-attacks on critical infrastructure. The assessment of such methods could be conducted using simulation or directly on a realistic operational testbed. While the results of an assessment on a testbed may be more authentic than those carried out using simulation, conducting such experiments is fraught with challenges such as the time required to set up and launch attacks thus limiting the variety and number of attacks launched. To overcome such limitations, while maintaining the reliability of the outcome of the assessment, an approach based on timed automata models of a critical infrastructure was investigated. The investigation involved development of a digital twin for a 6-stage water treatment plant. A design-centric anomaly detection method, as well as an attack launcher, were integrated with the model and experiments were performed. The outcome of this investigation reveals the value of the proposed approach in rapid assessment of a design-centric anomaly detection method. © 2019 IEEE.",Conference paper,10.1109/EDCC.2019.00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075634965&doi=10.1109%2fEDCC.2019.00031&partnerID=40&md5=402fe54836e39b7e11d5afe3cd785eba,,Anomaly detection; Attack model; Cyber physical Systems; Timed Automata; Water treatment plant,Automata theory; Computer crime; Critical infrastructures; Cyber Physical System; Embedded systems; Network security; Public works; Testbeds; Water treatment; Water treatment plants; Anomaly detection methods; Attack model; Cyber-attacks; Rapid assessment; Timed Automata; Timed automata models; Anomaly detection,Institute of Electrical and Electronics Engineers Inc.,,English,"Cited by: 4; Conference name: 15th European Dependable Computing Conference, EDCC 2019; Conference date: 17 September 2019 through 20 September 2019; Conference code: 154151",,44936.5983,44941.47411,Linatek,Linatek,Accepted,
,Securing critical infrastructures with a cybersecurity digital twin,"Masi, Massimiliano and Sellitto, Giovanni Paolo and Aranha, Helder and Pavleska, Tanja",Software and Systems Modeling,2023,Scopus,,,"With the diffusion of integrated design environments and tools for visual threat modeling for critical infrastructures, the concept of Digital Twin (DT) is gaining momentum in the field of cybersecurity. Its main use is for enabling attack simulations and evaluation of countermeasures, without causing outage of the physical system. However, the use of a DT is considered foremost as a facilitator of system operation rather than an integral part of its architecture design. In this work, we introduce a specific architecture view in the system representation, called Cybersecurity View. From it, we derive a cybersecurity Digital Twin as part of the security-by-design practice for Industrial Automation and Control Systems used in Critical Infrastructures. Not only this digital twin serves the purpose of simulating cyber-attacks and devising countermeasures, but its design and function are also directly tied to the architecture model of the system for which the cybersecurity requirements are posed. Moreover, this holds regardless of whether the model is generated as part of the development cycle or through an empirical observation of the system as-is. With this, we enable the identification of adequate cybersecurity measures for the system, while improving the overall system design. To demonstrate the practical usefulness of the proposed methodology, its application is illustrated through two real-world use cases: the Cooperative Intelligent Transport System (C-ITS) and the Road tunnel scenario. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Article,10.1007/s10270-022-01075-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145500568&doi=10.1007%2fs10270-022-01075-0&partnerID=40&md5=4f22255cdb93cc2d29bac6603fdbe82e,,Critical infrastructure; Cybersecurity view; Digital twin; Enterprise architecture; Reference architecture; Threat modeling; Transportation,Computer architecture; Cybersecurity; Intelligent systems; Intelligent vehicle highway systems; Network security; Traffic control; Cyber security; Cybersecurity view; Enterprise Architecture; Gaining momentum; Integrated design environments; Integrated design tools; Physical systems; Reference architecture; Systems operation; Threat modeling; Critical infrastructures,Springer Science and Business Media Deutschland GmbH,16191366,English,Cited by: 0,,44936.5983,44941.46999,Linatek,Linatek,Accepted,
,A game-theoretic approach to secure estimation and control for cyber-physical systems with a digital twin,"Xu, Zhiheng and Easwaran, Arvind","Proceedings - 2020 ACM/IEEE 11th International Conference on Cyber-Physical Systems, ICCPS 2020",2020,Scopus,20 – 29,,"Cyber-Physical Systems (CPSs) play an increasingly significant role in many critical applications. These valuable applications attract various sophisticated attacks. This paper considers a stealthy estimation attack, which aims to modify the state estimation of the CPSs. The intelligent attackers can learn defense strategies and use clandestine attack strategies to avoid detection. To address the issue, we design a Chi-square detector in a Digital Twin (DT), which is an online digital model of the physical system. We use a Signaling Game with Evidence (SGE) to find the optimal attack and defense strategies. Our analytical results show that the proposed defense strategies can mitigate the impact of the attack on the physical estimation and guarantee the stability of the CPSs. Finally, we use an illustrative application to evaluate the performance of the proposed framework. © 2020 IEEE.",Conference paper,10.1109/ICCPS48487.2020.00010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085942109&doi=10.1109%2fICCPS48487.2020.00010&partnerID=40&md5=2007ff35ce6e4e323ffb05984c346264,,Cyber-Physical Systems; Data-Integrity Attack; Digital Twin; Signaling Game with Evidence,Cyber Physical System; Embedded systems; Game theory; Network security; State estimation; Analytical results; Attack strategies; Critical applications; Cyber physical systems (CPSs); Defense strategy; Game-theoretic; Physical systems; Signaling game; Digital twin,Institute of Electrical and Electronics Engineers Inc.,,English,"Cited by: 2; Conference name: 11th ACM/IEEE International Conference on Cyber-Physical Systems, ICCPS 2020; Conference date: 21 April 2019 through 24 April 2019; Conference code: 160032; All Open Access, Green Open Access",,44936.5983,44940.5774,Linatek,Linatek,Accepted,
,Digital Twins and Cyber Security - solution or challenge?,"Holmes, David and Papathanasaki, Maria and Maglaras, Leandros and Ferrag, Mohamed Amine and Nepal, Surya and Janicke, Helge","6th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference, SEEDA-CECNSM 2021",2021,Scopus,,,"Digital twin technology today is diverse and emerging and its full potential is not yet widely understood. The concept of a digital twin allows for the analysis, design, optimisation and evolution of systems to take place fully digital, or in conjunction with a cyber-physical system to improve speed, accuracy and efficiency when compared to traditional engineering approaches. Digital twins continue to be a technology that enables new paradigms, such as Industry 4.0 and Factories of the Future as well as generating improved efficiencies within existing systems. The development of digital twin technology in traditional industries such as manufacturing, construction, the automotive industry, agriculture and transportation has highlighted its potential, but often insufficiently explored the risks associated with their integration. In this paper we explore risks relating to the cyber-security of systems employing digital twin technology and also consider the opportunities for digital twins themselves to mitigate cyber-security risks and become an integral part of a security in-depth defence. © 2021 IEEE",Conference paper,10.1109/SEEDA-CECNSM53056.2021.9566277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126609040&doi=10.1109%2fSEEDA-CECNSM53056.2021.9566277&partnerID=40&md5=6239e84ed78a5d2b4294f3d946ed6391,,Cyber Security; Digital Twins; Industry 4.0,Automotive industry; Efficiency; Embedded systems; Industry 4.0; Analysis/design; Cyber security; Design evolution; Design optimization; Factories of the futures; Improve speed; Security challenges; Security solutions; Speed accuracy; Traditional engineerings; Cybersecurity,Institute of Electrical and Electronics Engineers Inc.,,English,"Cited by: 10; Conference name: 6th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference, SEEDA-CECNSM 2021; Conference date: 24 September 2021 through 26 September 2021; Conference code: 176987",,44936.5983,44940.56696,Linatek,Linatek,Accepted,
,Towards a Novel Framework for Reinforcing Cybersecurity using DigitalTwins in IoT-based Healthcare Applications,"Pirbhulal, Sandeep and Abie, Habtamu and Shukla, Ankur",,2022,ISI Web of Science,,,"In recent years, the cybersecurity attacks on the internet of things
(IoT)-based healthcare systems became the major concern for researchers
and health organizations. With time, the sophistication of these attacks
is increasing. Therefore, healthcare service providers must implement
efficient security mechanisms carefully while taking the advantages of
connected devices without compromising the patient safety and disturbing
the real-time health services. A digital twin (DT) is a virtual
representation of a real-time counterpart of a physical world. DT offers
significant advantages to cybersecurity experts, empowering them to
predict risks without entering the physical world, and to simulate and
test cyber-attacks that would otherwise be infeasible to do in real-time
in the physical environment. DT in healthcare helps to identify security
vulnerabilities, conduct attack simulations, and potential security
breaches by creating a virtual replica of the targeted healthcare
systems. In this paper, a novel and automated conceptual framework is
developed for reinforcing the cybersecurity in IoT-based healthcare
using DT technology. It includes the conceptualization and analysis of
the proposed framework which can provide dynamic and adaptive security
solution to identify real-time threats and vulnerabilities in IoT-based
healthcare applications.",Proceedings Paper,10.1109/VTC2022-Spring54318.2022.9860581,,"Pirbhulal, S (Corresponding Author), Norwegian Comp Ctr, POB 114, N-0314 Oslo, Norway.Pirbhulal, Sandeep; Abie, Habtamu, Norwegian Comp Ctr, POB 114, N-0314 Oslo, Norway.Shukla, Ankur, Norwegian Univ Sci \& Technol, Dept Informat Secur \& Commun Technol, N-2815 Gjovik, Norway.",,cybersecurity; digital twins; IoT; healthcare,IEEE,,English,"IEEE 95th Vehicular Technology Conference: (VTC-Spring), Helsinki,FINLAND, JUN 19-22, 2022",,44936.59786,44941.50784,Linatek,Linatek,Accepted,
,A Security Framework in Digital Twins for Cloud-based Industrial ControlSystems: Intrusion Detection and Mitigation,"Akbarian, Fatemeh and Tarneberg, William and Fitzgerald, Emma and Kihl,Maria",,2021,ISI Web of Science,,,"With the help of modern technologies and advances in communication
systems, the functionality of Industrial control systems (ICS) has been
enhanced leading toward to have more efficient and smarter ICS. However,
this makes these systems more and more connected and part of a networked
system. This can provide an entry point for attackers to infiltrate the
system and cause damage with potentially catastrophic consequences.
Therefore, in this paper, we propose a digital twin-based security
framework for ICS that consists of two parts: attack detection and
attack mitigation. In this framework we deploy an intrusion detection
system in digital domain that can detect attacks in a timely manner.
Then, using our mitigation method, we keep the system stable with
acceptable performance during the attack. Additionally, we implement our
framework on a real testbed and evaluate its capability by subjecting it
to a set of attacks.",Proceedings Paper,10.1109/ETFA45728.2021.9613545,,"Akbarian, F (Corresponding Author), Lund Univ, Dept Elect \& Informat Technol, Lund, Sweden.Akbarian, Fatemeh; Tarneberg, William; Fitzgerald, Emma; Kihl, Maria, Lund Univ, Dept Elect \& Informat Technol, Lund, Sweden.Fitzgerald, Emma, Warsaw Univ Technol, Inst Telecommun, Warsaw, Poland.",,Intrusion detection; Attack mitigation; Digital twins; Industrialcontrol systems,IEEE,1946-0740,English,"26th IEEE International Conference on Emerging Technologies and FactoryAutomation (ETFA), ELECTR NETWORK, SEP 07-10, 2021",,44936.59786,44941.62271,Linatek,Linatek,Accepted,
,Cyber-Physical System Security Surveillance using Knowledge Graph basedDigital Twins - A Smart Farming Usecase,"Chukkapalli, Sai Sree Laya and Pillai, Nisha and Mittal, Sudip andJoshi, Anupam",,2021,ISI Web of Science,37-42,,"Rapid advancements in Cyber-Physical System (CPS) capabilities have
motivated farmers to deploy this ecosystem on their farms. However,
there is a growing concern among users regarding the security risks
associated with CPS. Especially with rising number of cyber-attacks on
CPS, such as modifying sensor readings, interrupting operations, etc.
Therefore, this paper describes a security surveillance framework to
detect deviations in the ecosystem by incorporating a digital twin
supported anomaly detection model. The reason for incorporating digital
twins is that they add value by enabling real-time monitoring of
connected smart farms. We pre-process the collected data from sensors
deployed on the smart farm setup. The pre-processed data is fused with
our smart farm ontology to populate a knowledge graph. The generated
graph is further queried to extract the necessary sensor data. We
utilize the extracted normal data to train the anomaly detection model.
Further, we tested our model if it identifies abnormal values from
sensors by simulating anomalous use case scenarios specific to our
ecosystem.",Proceedings Paper,10.1109/ISI53945.2021.9624688,,"Chukkapalli, SSL (Corresponding Author), Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21228 USA.Chukkapalli, Sai Sree Laya; Joshi, Anupam, Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21228 USA.Pillai, Nisha; Mittal, Sudip, Mississippi State Univ, Dept Comp Sci \& Engn, Mississippi State, MS 39762 USA.",,Security Surveillance; Cyber-Physical System; Digital Twins; KnowledgeGraphs; Artificial Intelligence,IEEE,,English,"19th Annual IEEE International Conference on Intelligence and SecurityInformatics (IEEE ISI), ELECTR NETWORK, NOV 02-03, 2021",,44936.59786,44941.62063,Linatek,Linatek,Accepted,
,ANGEL: An Intelligent Digital Twin Framework for Microgrid Security,"Danilczyk, William and Sun, Yan (Lindsay) and He, Haibo",,2019,ISI Web of Science,,,"The ANGEL Digital Twin for Cyber-Physical System Security is a novel
approach for improving the security of critical and non-critical
infrastructure. Digital Twin technology, widely used in the aviation,
manufacturing and automotive industries, has the potential to improve
the security and resiliency of the microgrid. In this paper, we present
a framework for adapting the Digital Twin to the application of
microgrid security. The Digital Twin is a real-time, physics-based
simulation that runs alongside the physical system providing for its
constant monitoring and control. The Automatic Network Guardian for
ELectrical systems, or ANGEL, will model both the cyber and physical
layers of the microgrid and provide real-time data visualization. As a
result, users will be aided in assessing the health of the physical
plant and overall behavior over a range of operating conditions. The
ANGEL Digital Twin will be able to use the real-time two-way coupling
between the simulation and physical system to update and evolve the
simulation to provide greater insight into the physical system.
Ultimately ANGEL will provide the ability to diagnose and heal the
physical system, mitigating both component failures and the effects of
cyber attack. This paper will explain the methodology behind the design
of this digital twin and the advantages of such an approach. To
demonstrate the current capabilities of the ANGEL framework as a Level
III digital twin, a simulation example is presented on the IEEE 39-bus
benchmark.y",Proceedings Paper,,,"Danilczyk, W (Corresponding Author), Univ Rhode Isl, Elect Engn, Kingston, RI 02881 USA.Danilczyk, William; He, Haibo, Univ Rhode Isl, Elect Engn, Kingston, RI 02881 USA.Sun, Yan (Lindsay), Univ Rhode Isl, Comp Engn, Kingston, RI 02881 USA.",,Digital Twin; Cyber Physical Security; Smart Grid; Microgrid,IEEE,2163-4939,English,"51st North American Power Symposium (NAPS), Wichita State Univ, Wichita,KS, OCT 13-15, 2019",,44936.59786,44941.6027,Linatek,Linatek,Accepted,
,Toward the Adoption of Secure Cyber Digital Twins to EnhanceCyber-Physical Systems Security,"De Benedictis, Alessandra and Esposito, Christiancarmine and Somma,Alessandra",,2022,ISI Web of Science,307-321,1621,"Cyber-Physical Systems (CPSs) and Digital Twins (DTs) currently
represent the two most notable examples of cyber-physical integration
enabled by modern ICT technologies, and their adoption is becoming
predominant to implement and analyse complex systems in several
application domains. So-called cyber DTs are increasingly being used to
carry out security analysis, monitoring and testing on the virtual
replicas of complex systems rather than on the physical counterparts,
especially when these may not be directly feasible due to cost and other
constraints. However, since physical and virtual replicas live side by
side in complex ecosystems, the need for secure and trustworthy DTs
arises. In this paper, we introduce a preliminary conceptual framework
aimed to increase the level of security of a complex CPS by leveraging a
cyber DT providing advanced anomaly detection capabilities, achieved by
means of state-of-art machine learning solutions (i.e., federated
learning). The framework will also address the security and
trustworthiness of the cyber DT itself, by leveraging both HW and SW
solutions to support a secure communication and storage of the critical
data exchanged among the physical and virtual worlds. To this aim, the
integration of the blockchain technology into the DT architecture will
be investigated.",Proceedings Paper,10.1007/978-3-031-14179-9\_21,,"De Benedictis, A (Corresponding Author), Univ Napoli Federico II, Naples, Italy.De Benedictis, Alessandra; Somma, Alessandra, Univ Napoli Federico II, Naples, Italy.Esposito, Christiancarmine, Univ Salerno, Fisciano, SA, Italy.",,Cyber Digital Twin; Secure Digital Twin; Cyber-Physical Systems;Blockchain; Federated learning,SPRINGER INTERNATIONAL PUBLISHING AG,1865-0929,English,"15th International Conference on Quality of Information andCommunications Technology (QUATIC), Univ Castilla La Mancha, Talavera dela Reina, SPAIN, SEP 12-14, 2022",,44936.59786,44941.59257,Linatek,Linatek,Accepted,
,DIGITAL TWINS FOR INTELLIGENT AUTHORIZATION IN THE B5G-ENABLED SMARTGRID,"Lopez, Javier and Rubio, Juan E. and Alcaraz, Cristina",IEEE WIRELESS COMMUNICATIONS,2021,ISI Web of Science,48-55,28,"Beyond fifth generation (B5G) communication networks and computation
paradigms in the edge are expected to be integrated into power grid
infrastructures over the coming years. In this sense, AI technologies
will play a fundamental role to efficiently manage dynamic information
flows of future applications, which impacts the authorization policies
applied in such a complex scenario. This article studies how digital
twins can evolve their context awareness capabilities and simulation
technologies to anticipate faults or to detect cyber-security issues in
real time, and update access control policies accordingly. Our study
analyzes the evolution of monitoring platforms and architecture
decentralization, including the application of machine learning and
blockchain technologies in the smart grid, toward the goal of
implementing autonomous and self-learning agents in the medium and long
term. We conclude this study with future challenges on applying digital
twins to B5G-based smart grid deployments.",Article,10.1109/MWC.001.2000336,,"Lopez, J (Corresponding Author), Univ Malaga, Network Informat \& Comp Secur NICS Lab, Malaga, Spain.Lopez, Javier, Univ Malaga, Network Informat \& Comp Secur NICS Lab, Malaga, Spain.Rubio, Juan E., Univ Malaga, Malaga, Spain.Alcaraz, Cristina, Univ Malaga, Dept Comp Sci, Malaga, Spain.",,Authorization; Context-aware services; Digital twin; Power systemdynamics; Machine learning; Computer architecture; Real-time systems,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1536-1284,English,,,44936.59786,44941.58194,Linatek,Linatek,Accepted,
,Digital Twin for Self-Security of Smart Inverters,"Hossen, Tareq and Gursoy, Mehmetcan and Mirafzal, Behrooz",,2021,ISI Web of Science,713-718,,"Smart inverters connected to a communication network are susceptible to
man-in-the-middle attacks. In this paper, a self-security approach is
implemented using the digital twin concept for smart inverters. The
digital twin is formed using the inverter's normal operating region and
the inverter's dynamic model. Then, the incoming setpoints are
autonomously examined using the digital twin, and only the safe
setpoints are engaged to the inverter's local controller. This paper
demonstrates how the inverter's normal operating region and dynamic
model are formed. In particular, the normal operation region is
experimentally verified by changing the P and Q setpoints engaged to the
local controller, using a laboratory setup including a three-phase
1.5-kVA SiC-MOSFET inverter and a 12-kW NHR 9410 regenerative power grid
emulator. The results demonstrate that the self-security technique can
potentially protect inverters from man-in-the-middle attacks by
examining the incoming commands (new setpoints) using the inverter's
digital twin before engaging the setpoints to the local controller.",Proceedings Paper,10.1109/ECCE47101.2021.9595087,,"Hossen, T (Corresponding Author), Kansas State Univ, Dept Elect \& Comp Engn, Manhattan, KS 66506 USA.Hossen, Tareq; Gursoy, Mehmetcan; Mirafzal, Behrooz, Kansas State Univ, Dept Elect \& Comp Engn, Manhattan, KS 66506 USA.",,Smart inverters; cyber-physical devices; self-security; reference model;digital twin,IEEE,2329-3721,English,"13th IEEE Energy Conversion Congress and Exposition (IEEE ECCE), ELECTRNETWORK, OCT 10-14, 2021",,44936.59786,44941.57856,Linatek,Linatek,Accepted,
,Hierarchical Federated Learning based Anomaly Detection using DigitalTwins for Smart Healthcare,"Gupta, Deepti and Kayode, Olumide and Bhatt, Smriti and Gupta, Maanakand Tosun, Ali Saman",,2021,ISI Web of Science,16-25,,"Internet of Medical Things (IoMT) is becoming ubiquitous with a
proliferation of smart medical devices and applications used in smart
hospitals, smart-home based care, and nursing homes. It utilizes smart
medical devices and cloud computing services along with core Internet of
Things (IoT) technologies to sense patients' vital body parameters,
monitor health conditions and generate multivariate data to support
justin-time health services. Mostly, this large amount of data is
analyzed in centralized servers. Anomaly Detection (AD) in a centralized
healthcare ecosystem is often plagued by significant delays in response
time with high performance overhead. Moreover, there are inherent
privacy issues associated with sending patients' personal health data to
a centralized server, which may also introduce several security threats
to the AD model, such as possibility of data poisoning. To overcome
these issues with centralized AD models, here we propose a Federated
Learning (FL) based AD model which utilizes edge cloudlets to run AD
models locally without sharing patients' data. Since existing FL
approaches perform aggregation on a single server which restricts the
scope of FL, in this paper, we introduce a hierarchical FL that allows
aggregation at different levels enabling multiparty collaboration. We
introduce a novel disease-based grouping mechanism where different AD
models are grouped based on specific types of diseases. Furthermore, we
develop a new Federated Time Distributed (FEDTIMEDIS) Long Short-Term
Memory (LSTM) approach to train the AD model. We present a Remote
Patient Monitoring (RPM) use case to demonstrate our model, and
illustrate a proof-of-concept implementation using Digital Twin (DT) and
edge cloudlets.",Proceedings Paper,10.1109/CIC52973.2021.00013,,"Gupta, D (Corresponding Author), Univ Texas San Antonio, Dept Comp Sci, San Antonio, TX 78249 USA.Gupta, Deepti, Univ Texas San Antonio, Dept Comp Sci, San Antonio, TX 78249 USA.Kayode, Olumide, Frostburg State Univ, Dept Comp Sci, Frostburg, MD 21532 USA.Bhatt, Smriti, Purdue Univ, Dept Comp \& Informat Technol, W Lafayette, IN 47907 USA.Gupta, Maanak, Tennessee Technol Univ, Dept Comp Sci, Cookeville, TN 38505 USA.Tosun, Ali Saman, Univ N Carolina, Dept Math \& Comp Sci, Pembroke, NC 2837",,Federated Learning; Anomaly Detection; Internet of Medical Things;Remote Patient Monitoring; Security; Privacy; Edge Cloudlet Computing;Long Short-Term Memory; Digital Twin,IEEE,,English,"7th IEEE International Conference on Collaboration and InternetComputing (CIC), ELECTR NETWORK, DEC 13-15, 2021",,44936.59786,44941.5734,Linatek,Linatek,Accepted,
,Creating a Digital Twin of an Insider Threat Detection Enterprise UsingModel-Based Systems Engineering,"Lee, James and Alghamdi, Ahmad and Zaidi, Abbas K.",,2022,ISI Web of Science,,,"Inference Enterprise Modeling (IEM) is a methodology developed to
address test and evaluation limitations that insider threat detection
enterprises face due to a lack of ground truth and/or missing data. IEM
uses a collection of statistical, data processing, analysis, and machine
learning techniques to estimate and forecast the performance of these
enterprises. As part of developing the IEM method, models satisfying
various detection system evaluation requirements were created. In this
work, we extend IEM as a digital twin generation technique by
representing modeled processes as executable UML Activity Diagrams and
tracing solution processes to problem requirements using ontologies.
Using the proposed framework, we can rapidly prototype a digital twin of
a detection system that can also be imported and executed in systems
engineering simulation software tools such as Cameo Enterprise
Architecture Simulation Toolkit. Cyber security and threat detection is
a continuous process that requires regular maintenance and testing
throughout its lifecycle, but there often exists access issues for
sensitive and private data and proprietary detection model details to
perform adequate test and evaluation activities in the live production
environment. To solve this issue, organizations can use a digital twin
technique to create a real-time virtual counterpart of the physical
system. We describe a method for creating digital twins of live and/or
hypothetical insider threat detection enterprises for the purpose of
performing test and evaluation activities on continuous monitoring
systems that are sensitive to disruptions. In this work, we use UML
Activity Diagrams to leverage the integrated simulation capabilities of
Model-Based Systems Engineering (MBSE).",Proceedings Paper,10.1109/SysCon53536.2022.9773890,,"Lee, J (Corresponding Author), George Mason Univ, Dept Syst Engn \& Operat Res, Fairfax, VA 22030 USA.Lee, James; Alghamdi, Ahmad; Zaidi, Abbas K., George Mason Univ, Dept Syst Engn \& Operat Res, Fairfax, VA 22030 USA.",,Digital Twin; MBSE; Insider Threat; System Engineering,IEEE,1944-7620,English,"16th Annual IEEE International Systems Conference (SysCon), ELECTRNETWORK, APR 25-MAY 23, 2022",,44936.59786,44941.56697,Linatek,Linatek,Accepted,
